,summary,generated_sequence_greedy,generated_sequence_beam,generated_sequence_topk,generated_sequence_topp
0,"There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.",",,,,,,,,, who has been in prison for 20 years, has found","in Wales, a Welsh charity says. ""I think the key is connecting people with the services they need. It's a",has been criticized for lack of help in the rented flat market.,", the Welsh Government has warned that it is important to have a landlord, who can help other people find accommodation, to help make them"
1,"A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh.","Police have recovered three firearms, ammunition and a five-figure sum of money.","Police have recovered three firearms, ammunition and a five-figure sum of money.",Police arrested an eight-year-old man who was charged with firearm abuse and assaulted by officers in Edinburgh have been searching for properties.,Detectives say a man has been arrested and charged with conspiracy to steal a firearm.
2,"Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",",,, have been charged with hate crimes and aggravated kidnapping.,,,,","Hill, 18, and Cooper, all 18, have been charged with hate crimes, aggravated kidnapping and battery, among other things",", 22,'s Witness said their victim. had been accused of beating Trump. and., and, both 18, and one of the defendant and slayings are made. The four are charged","has been charged with murder, kidnapping and battery, among others. A defense said that the attackers stuffed a "
3,"West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading.",keeper David West Brom has been appointed a youth academy director of football since 2003.,'s former Arsenal goalkeeper has played for the Royals for four years.,keeper Michael Warfinger has signed a new management role as well as a young player for arsenal.,keeper David Warres has been appointed Junior Soccer director for the Royals in Leeds.
4,"The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers.",",,,,,,,,,,,,, and the ability",". ""I was glad to have something to eat,"" he said. ""It's very exciting,"" he said.","and to find out what to do. on of eating a fasting diet will be ""no time spent,"" but is not too often.","from food and drinks. ""The aim is to improve blood sugar levels by using a diet to rebuild cells that change the organ's"
5,"Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica.",",,,,,,,,, and,,, and a merger",",,,,,,,,,, a merger between the two optician","by German optician Specsavers as a merger, is due to be overturned. It can get to be clear that the merger is expected to impact a huge change in competition and sales from the UK.","and becoming the biggest optical business in Europe. has slipped to one spot and put over its company, Essilor, with "
6,"A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel.",",,,,, has apologised for the sexist behaviour of the British Cycling team. has","has apologised to British Cycling's new chair Jonathan Browning. ""It's a really difficult question because you",is to get to work at British Cycling's Championships when she has left the Cycling Department.,", Scotland's Olympic Gold medallist Wendy Houvenaghel has said she has not yet achieved a better campaign."
7,Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?,",,,,,,, and a new generation of comedians,,,,","a comedy club in the United States.,,.,,s are becoming more and more popular.",(eh really). The concept for a comedy club in Austin is that it's “bad” to be a successful stand-up comedian.,"it in the US, or some other world, such as the Blackhawks, as well as Las Vegas."
8,"The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure.",",,, and a new board to run Openreach.,,,,, BT","of BT's giant pension scheme, Openreach, is a 'golden share' that BT's rival",". the first BT retirement scheme and that's a new way of tackling the ""golden share"" which BT bought after losing its own share portfolio.",The Andes have shown that the rulings are a very useful contribution to a new company - the sector's second
9,Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.,has been a key player in the Scottish Cup and has been a key player in the club's history.,"is looking forward to the Scottish Cup semi-finals. ""It's very, very difficult to achieve,"" said Rodgers",'s first Premier League title for Celtic in Scotland was the Premier League match in the summer. The Premier League has now reached its second-ever semi-final at Old Firm in London in a row.,as the German has praised his position as one of the best players in the game.
10,Queen's University Belfast is cutting 236 jobs and 290 student places due to a funding reduction.,", and the University of Northern Ireland has announced a £8m cut in funding.",", but it's not the last thing we want to do. ""The loss of any place is damaging to our economy,"" Queen'","is making sense over the following three years, which is said to have increased student placements over Northern Ireland, but it could hit its reputation.",across the UK and: The government's public funding for the Higher Education Fund has cut the number of students and opportunities at the University
11,Hospital bosses in Sussex have apologised after about 850 patients were sent leaflets in error suggesting they might have cancer.,"was inserted with a 'two-week' information leaflet with an appointment letter. ""As soon as the error became","was inserted with an appointment letter. ""We apologise for any unnecessary anxiety this error may have caused,"" a","ing to that labelled the error was a ""business nightmare"" after a patient received initial consultation.",from a printer in November 2012 was turned on and went to hospital and gave the NHS an apology.
12,The shadow foreign secretary has suggested Labour will continue to support legislation paving the way for Brexit as it passes through Parliament.,Labour's Labour leader has said he will vote against the Brexit bill unless it is rejected.,"Labour's Jeremy Corbyn has said he will not ""frustrate"" Brexit even if it failed to amend the","it's already been signed in Parliament., Labour will try to take what the Labour Party has written to a minister to the House that would help by passing that bill.","'s ministers voted to back the Labour Bill, saying they will vote on the bill."
